day,session,title,authors,track,room,start_time,duration_min
2025-10-09,Video Presentations 1: Human Factors and XR,A Multi-Sensor Approach for Cognitive Load Assessment in Mobile AR,"Martin Pluisch, Jan Gugenheimer, Youngjun Cho, Simon Julier, Ernst Kruijff",Human Factors,Room 205,10:30,60
2025-10-09,Video Presentations 1: Human Factors and XR,Measuring Rotational Inertia in HMDs,"Jared Van Dam, Matt Werner, Kyle Tanous, Joseph L Gabbard",Human Factors,Room 205,10:30,60
2025-10-09,Video Presentations 1: Human Factors and XR,AR Visualization Techniques for Search and Rescue,"Kelsey Quinn, Joseph L Gabbard, Enricoandrea Laviola, John Luksas",Human Factors,Room 205,10:30,60
2025-10-09,Haptics 1,Enhancing Pseudo-Haptics on the Hand by Viewpoint Shifts in VR,"Riku Watanabe, Mitsuru Ito, Akifumi Takahashi, Tomohiro Amemiya, Yuki Ban",Haptics,Room 301,10:30,60
2025-10-09,Haptics 1,ThumbShift: Modulating Perceived Object Properties through Dynamic Thumb Repositioning,"Jian Zhang, Gavin Buckingham, Wafa Johal, Jarrod Knibbe",Haptics,Room 301,10:30,60
2025-10-09,Haptics 1,Pseudo-Haptic Techniques for Simulating Surface Stickiness in VR,"Yutaro Hirao, Celeste Bourse, Koki Hori, Takuji Narumi, Ferran Argelaguet Sanz, Anatole Lecuyer",Haptics,Room 301,10:30,60
2025-10-09,Haptics 1,The Effect of Realism on Hand Redirection in Immersive Environments,"Shuqi Liao, Yuqi Zhou, Voicu Popescu",Haptics,Room 301,10:30,60
2025-10-09,Locomotion and 3DUI,TouchWalker: Real-Time Avatar Locomotion from Touchscreen Finger Walking,"Geuntae Park, Jiwon Yi, Taehyun James Rhee, Kwanguk Kim, Yoonsang Lee",Locomotion,Room 201,12:00,60
2025-10-09,Locomotion and 3DUI,Big Frog Vibes: Jumping Superhuman Distances in VR,"Graham Wilson, Harvey Russell, Joseph O'Hagan, Mark McGill",Locomotion,Room 201,12:00,60
2025-10-09,Locomotion and 3DUI,Isometric and Elastic Balance Boards for VR Locomotion,"Michael Nelson, Christos Mousas",Locomotion,Room 201,12:00,60
2025-10-09,Locomotion and 3DUI,Pointing and Confirmation Techniques for Teleportation Across Elevations,"Bakdauren Narbayev, A K M Amanat Ullah, Jaisie Sin, Patricia Lasserre, Khalad Hasan",Locomotion,Room 201,12:00,60
2025-10-09,Tracking,An Evaluation of Movement Data Analysis Techniques for VR,"Alice Guth, Jessica J Good, Eugy Han, Jeremy Bailenson, Tabitha C. Peck",Tracking,Room 202,12:00,60
2025-10-09,Tracking,OpenFLAME: Federated Visual Positioning System for Large-Scale AR,"Sagar Bharadwaj Kalasibail Seetharam, Harrison Williams, Ainiu Luke Wang, Michael Liang, Tao Jin, Srinivasan Seshan, Anthony Rowe",Tracking,Room 202,12:00,60
2025-10-09,Tracking,XR Reality Check: What Commercial Devices Deliver for Spatial Tracking,"Tianyi Hu, Tianyuan Du, Zhehan Qu, Maria Gorlatova",Tracking,Room 202,12:00,60
2025-10-09,Social Behavior and Presence,Don't look at me like that: How AR face recognition changes social behaviour,"Kushani Tharushika Perera, Holger Regenbrecht, Nadia Pantidi, Tobias Langlotz",Presence,Room 204,12:00,60
2025-10-09,Social Behavior and Presence,Dynamic Measurement of Visitor Behavioral Engagement Using HMDs,"Shuyu Luo, Yujia Qian, Chaoyi Huang, Xinyi Hao, Xin Zhang",Presence,Room 204,12:00,60
2025-10-09,Social Behavior and Presence,Gender Congruence and Social Context in XR,"Hyeongil Nam, Seoyoung Kang, Anh Nguyen, Isaac Cho, Woontack Woo, Kangsoo Kim",Presence,Room 204,12:00,60
2025-10-09,Social Behavior and Presence,Entering Your Space: How Agent Entrance Styles Shape Social Presence in AR,"Junyeong Kum, Seungwon Kim, Myungho Lee",Presence,Room 204,12:00,60
2025-10-09,Diversity and Therapy,Portable Silent Room: VR Design for Anxiety and Emotion Regulation,"Kinga Skiers, Yun Suen Pai, Marina Nakagawa, Kouta Minamizawa, Giulia Barbareschi",Health,Room 205,12:00,60
2025-10-09,Diversity and Therapy,Exploring VR Group Therapy Approaches with the LGBTQIA+ community,"Kinga Skiers, Danyang Peng, Anish Kundu, Tanner Person, Kenkichi Takase, Tamii Nagoshi, Sawako Nakayama, Yano Yuichiro, Tomoyuki Miyazaki, Kouta Minamizawa, Giulia Barbareschi",Health,Room 205,12:00,60
2025-10-09,Diversity and Therapy,MetaRoundWorm: A VR Escape Room Game for Learning Parasitic Infections,"Xuanru Cheng, Xian Wang, Chi-lok Tai, Lik-Hang Lee",Health,Room 205,12:00,60
2025-10-09,Diversity and Therapy,ZonAware: Identifying Zoning Out in Upper Limb VR Rehabilitation,"Kai-Lun Liao, Mengjie Huang, Jiajia Shi, Min Chen, Rui Yang",Health,Room 205,12:00,60
2025-10-09,Collaboration,Bichronous Collaboration: Across Time and Space Workflow for Physical Tasks,"Hyunwoo Cho, Eunhee Chang, Bowen Yuan, Theophilus Teo, Gun A. Lee, Thammathip Piumsomboon, Mark Billinghurst",Collaboration,Room 301,12:00,60
2025-10-09,Collaboration,VR Onboarding Procedures for Multiple Collocated Users,"Ephraim Schott, Tony Jan Zoeppig, Pramoch Viriyathomrongul, Anton Benjamin Lammert, Bernd Froehlich",Collaboration,Room 301,12:00,60
2025-10-09,Collaboration,"Shared, Replicated, or Separated? Virtual Workspace Configurations","Juliette Le Meudec, Anastasia Bezerianos, Arnaud Prouzeau",Collaboration,Room 301,12:00,60
2025-10-09,Collaboration,PACT: Modeling Coordination Dynamics in Scale-Asymmetric VR Collaboration,"Hayeon Kim, In-Kwon Lee",Collaboration,Room 301,12:00,60
2025-10-09,Education and Learning,Enhancing Learning and Knowledge Retention of Abstract Physics Concepts with VR,"Mehmet Akif Akdag, Jean Botev, Steffen Rothkugel",Education,Room 201,14:30,60
2025-10-09,Education and Learning,LiteAT: A Data-Lightweight and User-Adaptive VR Telepresence System for Remote Education,"Yuxin Shen, Wei Liang, Jianzhu Ma",Education,Room 201,14:30,60
2025-10-09,Education and Learning,Understanding Collaborative Learning of Molecular Structures in AR,"Tobias Rau, Maurice Koch, Nelusa Pathmanathan, Tobias Isenberg, Daniel Weiskopf, Michael Sedlmair, Andreas Kohn, Kuno Kurzhals",Education,Room 201,14:30,60
2025-10-09,Education and Learning,Xstudio: A Collaborative Metaverse-Based Tool for Automotive Design,"Liudongnan Yang, Christian Eichhorn, Markus Herbig, David A. Plecher",Education,Room 201,14:30,60
2025-10-09,Training in Health and Sports,Haptic Feedback in an Immersive Microsurgery Simulator,"Intissar Cherif, Aylen Ricca, Mohamed Chaouki Babahenini, Samir Otmane, Amine Chellali",Health,Room 202,14:30,60
2025-10-09,Training in Health and Sports,Cross-Reality for Autonomous Mobility in Autistic Individuals,"Francesco Vona, Mattia Gianotti, Maria Luisa Lorusso, Franca Garzotto",Health,Room 202,14:30,60
2025-10-09,Training in Health and Sports,P-MARS: A VR-Based Rehabilitation System for Children with Autism,"Yang Zhao, Chenyang Wang, Peihan Shi, Jing Qu, Changqing Fu, Xuchen Guo, Lingguo Bu",Health,Room 202,14:30,60
2025-10-09,Training in Health and Sports,VRTennis: Forehand Training in VR with Rule-Based Motion Analysis,"Anna Sebernegg, Peter Kan",Health,Room 202,14:30,60
2025-10-09,Video Presentations 2: XR Illusions,The Impact of Performance-Specific Feedback from a Virtual Coach in a VR Exercise App,"Andrea Zimmerer, Lydia Bartels, Marc Erich Latoschik",Perception,Room 204,14:30,60
2025-10-09,Video Presentations 2: XR Illusions,Virtual Museum Tour Agent: Effects of Responsiveness and Awareness,"Anant Upadhyay, Fu-Chia Yang, Christos Mousas",Perception,Room 204,14:30,60
2025-10-09,Video Presentations 2: XR Illusions,The Effect of Crowds on Peripersonal Space in Immersive VEs,"Yuanhao Lyu, Soumyajit Chakraborty, HyeonSeung Lee, Holly C Gagnon, Sohee Park, Bobby Bodenheimer",Perception,Room 204,14:30,60
2025-10-09,Video Presentations 2: XR Illusions,Let's Do It My Way: Effects of Personality and Age of Virtual Characters,"Minsoo Choi, Dixuan Cui, Siqi Guo, Dominic Kao, Christos Mousas",Perception,Room 204,14:30,60
2025-10-09,Multisensory,Visual and Auditory Feedback for Enhancing Pseudo-Haptic Button Interaction,"Myeongji Ko, Woojoo Kim",Perception,Room 205,14:30,60
2025-10-09,Multisensory,Visuo-Tactile Feedback with Hand Outline Styles for Affective Roughness,"Minju Baeck, Yoonseok Shin, Dooyoung Kim, Hyunjin Lee, Sang Ho Yoon, Woontack Woo",Perception,Room 205,14:30,60
2025-10-09,Multisensory,Audiovisual Disparities in VR: Impact on Spatial Perception,"Edurne Bernal-Berdun, Mateo Vallejo, Qi Sun, Ana Serrano, Diego Gutierrez",Perception,Room 205,14:30,60
2025-10-09,Multisensory,When Senses Collide: Modality Congruence in AR,"Mehakdeep Kaur, Hyeongil Nam, Ryan Kang, Dongyun Han, DongHoon Kim, Isaac Cho, Kangsoo Kim",Perception,Room 205,14:30,60
2025-10-09,3D Display and Rendering,Virtual Pass-through: Evaluating 3D Gaussian Splatting,"Andy Schleising, Christian Kunert, Tobias Schwandt, Wolfgang Broll",Displays,Room 301,14:30,60
2025-10-09,3D Display and Rendering,X-Mask: Improving Soft-Edge Occlusion in Optical See-Through Displays,"Xiaodan Hu, Christoph Ebner, Yan Zhang, Kiyoshi Kiyokawa, Alexander Plopski",Displays,Room 301,14:30,60
2025-10-09,3D Display and Rendering,Enhanced Adaptive Subdivision for Dynamic Mesh Compression,"Dayun Nam, Seong Yong Lim, Hyon-Gon Choo",Displays,Room 301,14:30,60
2025-10-09,3D Display and Rendering,IntelliCap: Intelligent Guidance for Consistent View Sampling,"Ayaka Yasunaga, Hideo Saito, Dieter Schmalstieg, Shohei Mori",Displays,Room 301,14:30,60
2025-10-09,Hands,HeadZoom: Hands-Free Zooming and Panning Using Head Motion,"Kaining Zhang, Catarina Moreira, Pedro Belchior, Gun A. Lee, Mark Billinghurst, Joaquim Jorge",Interaction,Room 201,16:00,60
2025-10-09,Hands,Designing Hand and Forearm Gestures for User-Initiated Forearm Deformation,"Yilong Lin, Han Shi, Weitao Jiang, Xuesong Zhang, Hye-Young Jo, Yoonji Kim, Seungwoo Je",Interaction,Room 201,16:00,60
2025-10-09,Hands,Comparing Hand and Controller Avatars with Hand Tracking,"Natalia P Ocampo, J. Felipe Gonzalez, Robert J Teather",Interaction,Room 201,16:00,60
2025-10-09,Hands,AuxiScope: Handheld AR Tablet as an Auxiliary Display,"Matthew Castellana, Chahat Kalsi, Yoonsang Kim, Saeed Boorboor, Arie Kaufman",Interaction,Room 201,16:00,60
2025-10-09,3DUI: Gaze,HeadDepth: Gaze Raycasting with Head Pitch for Depth Control,"Haopeng Wang, Florian Weidner, Yasmeen Abdrabou, Ken Pfeuffer, Hans Gellersen",Gaze,Room 202,16:00,60
2025-10-09,3DUI: Gaze,Multimodal Pen + Gaze Interaction for Shape Point Translation in XR,"Uta Wagner, Jinwook Kim, Zhikun Wu, Qiushi Zhou, Mario Romero, Alessandro Iop, Tiare Feuchtner, Ken Pfeuffer",Gaze,Room 202,16:00,60
2025-10-09,3DUI: Gaze,Design Principles and Challenges for Gaze + Pinch Interaction in XR,"Ken Pfeuffer, Hans Gellersen, Mar Gonzalez-Franco",Gaze,Room 202,16:00,60
2025-10-09,3DUI: Gaze,Exploring Linearly Aligned Objects with Gaze and Microgestures,"Jihyeon Lee, Jinwook Kim, Jeongmi Lee",Gaze,Room 202,16:00,60
2025-10-09,Locomotion,MyGO: VR Locomotion Prediction using Multitask Learning,"Zicheng Liu, Ding Ding, Zhuying Li, Chuhan Shi",Locomotion,Room 204,16:00,60
2025-10-09,Locomotion,Effects of Peripheral Optic Flow on Positional Drift during Walk-In-Place,"Seungwoo Eun, Taeyun Noh, Myungho Lee",Locomotion,Room 204,16:00,60
2025-10-09,Locomotion,Plausible Preference of Body-centric Locomotion with Reinforcement Learning,"Zijun Mai, BoYu Gao, Huawei Tu, Haojun Zheng, Henry Been-Lirn Duh",Locomotion,Room 204,16:00,60
2025-10-09,Locomotion,Effect of Visual Cue Density on Situational Awareness during Immersive Navigation,"Nicole Weidinger, Tobias Schreck, Bruce H Thomas, Neven ElSayed, Eduardo Veas",Locomotion,Room 204,16:00,60
2025-10-09,Cybersickness 1,Multimodal Contrastive Learning for Cybersickness Recognition,"Peike Wang, Ming Li, Ziteng Wang, Yong-Jin Liu, Lili Wang",Cybersickness,Room 205,16:00,60
2025-10-09,Cybersickness 1,Probabilistic Verification of Cybersickness in VR Through Bayesian Networks,"Peng Wu, Nasim Ahmed, Abhiram Sarma, Kaiming Huang, Rifatul Islam, Bin Li, Tian Lan, Gang Tan, Mahdi Imani",Cybersickness,Room 205,16:00,60
2025-10-09,Cybersickness 1,Field Dependence as a Predictor of Cybersickness,"Wallace Santos Lages, Brady Li, Zachary Gaydos",Cybersickness,Room 205,16:00,60
2025-10-09,Cybersickness 1,Semi-Supervised Cybersickness Prediction from Physiological Signals,"A E M Ridwan, John Quarles, Rifatul Islam",Cybersickness,Room 205,16:00,60
2025-10-09,"Avatars and Tracking, Animation",MMG: Manipulation-aware Holistic Human Motion Generation,"Xuehuai Shi, Renzhi Xiao, Yilun Sheng, Lili Wang, Jian Wu, Xiaobai Chen, Jieming Yin, Qingshan Liu",Avatars,Room 301,16:00,60
2025-10-09,"Avatars and Tracking, Animation",Robustness of Self-Avatar Animation Beyond Sparse Tracking,"Antoine Maiorca, George Fletcher, Thierry Ravet, Thierry Dutoit",Avatars,Room 301,16:00,60
2025-10-09,"Avatars and Tracking, Animation",Crafting Dynamic Virtual Activities with Advanced Multimodal Models,"Changyang Li, Qingan Yan, Minyoung Kim, Zhan Li, Yi Xu, Lap-Fai Yu",Avatars,Room 301,16:00,60
2025-10-09,"Avatars and Tracking, Animation",VRtalk: Real-time Interactive Intelligent Anime Avatars in VR,"Yuan Yu, Chunlei Xu, Shirao Yang, Yu Cao, Yuyang Wang, Boon Giin Lee",Avatars,Room 301,16:00,60
2025-10-09,Bodies and Presence,"Merging Bodies, Dividing Conflict: Body-Swapping in MR","Yuan He, Brendan Rooney, Rachel McDonnell",Presence,Room 201,17:30,60
2025-10-09,Bodies and Presence,PresenceLens: Interpreting Dynamic Presence in VR,"Hayeon Kim, In-Kwon Lee",Presence,Room 201,17:30,60
2025-10-09,Bodies and Presence,The Role of Visual Augmentation on Embodied Skill Acquisition,"Ruochen Cao, Zequn Liang, Chenkai Zhang, Andrew Cunningham, James A. Walsh, Rui Cao",Presence,Room 201,17:30,60
2025-10-09,Bodies and Presence,DPIK: User Embodiment of Dual-point Tracked Avatars for Smartphone AR,"Elhassan Makled, Wolfgang Broll",Presence,Room 201,17:30,60
2025-10-09,Perception,Subjective Anxiety and Behavior due to Personal Space Violations in Social VR,"Jiyoon Park, Christian Wallraven",Perception,Room 202,17:30,60
2025-10-09,Perception,The Awe-some Spectrum: Self-Reported Awe in VR,"Melissa Steininger, Alexander Marquardt, Monica Perusquia-Hernandez, Marvin Lehnort, Hiromu Otsubo, Felix Dollack, Ernst Kruijff, Bjorn Kruger, Kiyoshi Kiyokawa, Bernhard E. Riecke",Perception,Room 202,17:30,60
2025-10-09,Perception,Immersive Intergroup Contact: Using VR to Enhance Empathy Towards Schizophrenia,"Jiaqi Yin, Shihan Liu, Shao-Wen Lee, Andreas Kitsios, Marco Fyfe Pietro Gillies, Michele Denise Birtel, Harry Farmer, Xueni Pan",Perception,Room 202,17:30,60
2025-10-09,Perception,Are You Empathizing with Me? External Expressions of Empathy in VR,"Yongho Lee, Bowon Kim, Hyunchul Kim, Jeongmi Lee, Gun A. Lee, Heesook Shin, Youn-Hee Gil",Perception,Room 202,17:30,60
2025-10-09,In the Wild,AR Productivity In-the-Wild: A Diary Study of AR Laptops,"Yi Fei Cheng, Ari Carden, Hyunsung Cho, Catarina G. Fidalgo, Jonathan Wieland, David Lindlbauer",Applications,Room 204,17:30,60
2025-10-09,In the Wild,Long-Term Experiences From Working with Extended Reality in the Wild,"Verena Biener, Florian Jack Winston, Dieter Schmalstieg, Alexander Plopski",Applications,Room 204,17:30,60
2025-10-09,In the Wild,The Immersive Debriefing: Full and Segmented Redo methods in VR,"Kelly Minotti, Daniel Xuan Hien Mai, Guillaume Loup, Amine Chellali, Marie-helene Ferrer, Samir Otmane",Applications,Room 204,17:30,60
2025-10-09,In the Wild,The State of Replication at IEEE ISMAR and IEEE VR,"Verena Biener, Mohammed Safayet Arefin, S M Rashidul Hasan Nijhum, Florian Weidner, Jens Grubert, J. Edward Swan",Applications,Room 204,17:30,60
2025-10-09,Document Search,LitForager: Multimodal Literature Foraging in Immersive Sensemaking,"Haoyang Yang, Elliott H Faa, Weijian Liu, Shunan Guo, Duen Horng Chau, Yalong Yang",Applications,Room 205,17:30,60
2025-10-09,Document Search,Exploring Organizational Strategies in Immersive Computational Notebooks,"Sungwon In, Ayush Roy, Eric Krokos, Kirsten Whitley, Chris North, Yalong Yang",Applications,Room 205,17:30,60
2025-10-09,Document Search,DocVision: Cross-Device Immersive Active Reading for Academic Literature,"Yapeng Liu, Kai Chen, Dongliang Guo, Fengyi Yang",Applications,Room 205,17:30,60
2025-10-09,Document Search,How Do We Read Texts in VR?,"Jungmin Lee, Hyuckjin Jang, Jeongmi Lee",Applications,Room 205,17:30,60
2025-10-09,Perception and Interaction with Hands and Cues,Adaptive Hand Visibility for Accurate 3D User Interactions,"Rumeysa Turkmen, Laurent Voisard, Marta Kersten-Oertel, Anil Ufuk Batmaz",Interaction,Room 301,17:30,60
2025-10-09,Perception and Interaction with Hands and Cues,The Effect of Hand Visibility in AR,"Jakob Hartbrich, Stephanie Arevalo Arboleda, Steve Goring, Alexander Raake",Interaction,Room 301,17:30,60
2025-10-09,Perception and Interaction with Hands and Cues,How Virtual Hand Visibility Affects Near-Field Size Perception,"Chandni Murmu, Rohith Venkatakrishnan, Roshan Venkatakrishnan, Wen-Chieh Lin, Andrew Robb, Christopher Pagano, Sabarish V. Babu",Interaction,Room 301,17:30,60
2025-10-09,Perception and Interaction with Hands and Cues,MAGIC: A Method for Analyzing the Grammar of Incomplete Cues,"Xinyu Hu, Joseph LaViola, Ryan P. McMahan",Interaction,Room 301,17:30,60
2025-10-10,3DUI Selection and Pointing,SliVR: A 360 VR-Hub for Fast Selections in Multiple Virtual Environments,"Kevin Linne, Sven Thomas, Jennifer Roth, Martin Weigel",Interaction,Room 201,10:30,60
2025-10-10,3DUI Selection and Pointing,Revisiting Performance Models of Distal Pointing Tasks in VR,"Logan Lane, Feiyu Lu, Shakiba Davari, Robert J. Teather, Doug A. Bowman",Interaction,Room 201,10:30,60
2025-10-10,3DUI Selection and Pointing,Magic-Tap: A Kinematics-Driven Virtual Hand Selection Technique,"Ruyang Yu, Yixuan Liu, Zijian Wu, Tao Luo",Interaction,Room 201,10:30,60
2025-10-10,3DUI Selection and Pointing,Selection at a Distance Through a Large Transparent Touch Screen,"Sebastian Rigling, Steffen Koch, Dieter Schmalstieg, Bruce H Thomas, Michael Sedlmair",Interaction,Room 201,10:30,60
2025-10-10,Agents and AI,Navigation Pixie: On-demand Navigation Agents in Commercial Metaverse,"Hikari Yanagawa, Yuichi Hiroi, Satomi Tokida, Yuji Hatada, Takefumi Hiraki",Agents,Room 202,10:30,60
2025-10-10,Agents and AI,Effects of AI-Powered Embodied Avatars on Communication Quality,"Hyeongil Nam, Muskan Sarvesh, Seoyoung Kang, Woontack Woo, Kangsoo Kim",Agents,Room 202,10:30,60
2025-10-10,Agents and AI,When LLMs Recognize Your Space: Spatially Aware LLM Agents,"Seungwoo Oh, Nakyoung An, Youngwug Cho, Myeongul Jung, Kwanguk Kim",Agents,Room 202,10:30,60
2025-10-10,Agents and AI,AI-Based Real-Time Gesture Generation and Immersion in Social XR,"Christian Merz, Niklas Krome, Carolin Wienrich, Stefan Kopp, Marc Erich Latoschik",Agents,Room 202,10:30,60
2025-10-10,Humans and Collaboration,Influence of Crowd Size on User Performance in Shared VEs,"Haozhong Yang, Yi-Jun Li, Zinan Han, Wentong Shu, Miao Wang",Collaboration,Room 204,10:30,60
2025-10-10,Humans and Collaboration,Effects of Virtual Crowds on Visual Attention in a Stressful VR Simulation,"Sai-Keung Wong, Yi-An Chen, Elizabeth A Schlesener, Rohith Venkatakrishnan, Roshan Venkatakrishnan, Yu-Ting Chao, Sabarish V. Babu",Collaboration,Room 204,10:30,60
2025-10-10,Humans and Collaboration,Rendering Togetherness: Embodied Social Synchronization in Multi-User VR,"Julia Ayache, Julien Laroche, Maxime Herisse, Pierre Jean, Anna Katharina Hebborn, Didier Stricker, Benoit G. Bardy",Collaboration,Room 204,10:30,60
2025-10-10,Humans and Collaboration,Can People's Brains Synchronize during Remote AR Collaboration?,"Jaehwan You, Myeongul Jung, Kwanguk Kim",Collaboration,Room 204,10:30,60
2025-10-10,Privacy and Attacks,Visceral Notices and Privacy Mechanisms for Eye Tracking in AR,"Nissi Otoo, Kailon Blue, G. Nikki Ramirez, Evan Selinger, Shaun Foster, Brendan David-John",Security,Room 205,10:30,60
2025-10-10,Privacy and Attacks,p-Blend: Privacy- and Utility-Preserving Blendshape Perturbation in VR,"Jingwei Liu, Lai Wei, Yan Hu, guangrong zhao, Qing Yang, Guangdong Bai, Yiran Shen",Security,Room 205,10:30,60
2025-10-10,Privacy and Attacks,PrivateXR: Defending Privacy Attacks in XR Through Explainable AI,"Ripan Kumar Kundu, Istiak Ahmed, Khaza Anuarul Hoque",Security,Room 205,10:30,60
2025-10-10,Privacy and Attacks,Detecting Visual Information Manipulation Attacks in AR,"Yanming Xiu, Maria Gorlatova",Security,Room 205,10:30,60
2025-10-10,Robots,The AI of the Beholder: Experience of Healthcare AI Robots,"Jinha Yoon, Patrycja Zajac, Lauren Pococke, Anisia Jicol, Christopher Clarke, Eamonn O'Neill, Karin Petrini, Christof Lutteroth, Crescent Jicol",Robots,Room 301,10:30,60
2025-10-10,Robots,ReachVox: Clutter-free Reachability Visualization for Robot Motion Planning,"Steffen Hauck, Diar Abdlkarim, John J Dudley, Per Ola Kristensson, Eyal Ofek, Jens Grubert",Robots,Room 301,10:30,60
2025-10-10,Robots,Extended Reality Check: XR Prototyping for Human-Robot Interaction,"Tonia Mielke, Mareen Allgaier, Christian Hansen, Florian Heinrich",Robots,Room 301,10:30,60
2025-10-10,Robots,RCLL-AR: AR Support for Understanding Autonomous Processes,"Jan-Heliodor Tscherko, Peter Kohout, Philipp Fleck, Matteo Tschesche, Alexander Ferrein, Gerald Steinbauer-Wagner, Alexander Plopski",Robots,Room 301,10:30,60
2025-10-10,3DUI: Gaze 2,When Is Self-Gaze Helpful? Gaze Visualization in Collocated AR,"Daniel Alexander Delgado, Christopher J Bowers, Rodrigo Luis Calvo, Jaime Ruiz",Gaze,Room 201,12:00,60
2025-10-10,3DUI: Gaze 2,Gaze Dynamics in VR Film Education,"Zheng Wei, Jia Sun, Junxiang Liao, Lik-Hang Lee, Pan Hui, Huamin Qu, Wai Tong, Xian Xu",Gaze,Room 201,12:00,60
2025-10-10,3DUI: Gaze 2,Through the Expert's Eyes: Asynchronous Expert Gaze Visualizations in XR,"Clara Sayffaerth, Annika Kohler, Julian Rasch, Albrecht Schmidt, Florian Muller",Gaze,Room 201,12:00,60
2025-10-10,3DUI: Gaze 2,Don't Miss Notifications: Gaze Notifications for VR Cooking,"Rumeysa Turkmen, Francisco Raul Ortega, Anil Ufuk Batmaz",Gaze,Room 201,12:00,60
2025-10-10,Perception 2,Zeitgebers-Based User Experience and Time Perception Modeling in VR,"Yi Li, Zengyu Liu, Xiandi Zhu, Zhitao Liu, Yalan Ye, Ning Xie",Perception,Room 202,12:00,60
2025-10-10,Perception 2,Rhythmic Interaction influences Synchrony Perception in VR,"Anton Benjamin Lammert, Lina Klass, Laura Simon, Eva Hornecker, Jan Ehlers, Bernd Froehlich",Perception,Room 202,12:00,60
2025-10-10,Perception 2,Enhancing Dazzling Sensation through Pseudo-Blink in VR,"Takahiro Ito, Juro Hosoi, Yuki Ban, Shinichi Warisawa",Perception,Room 202,12:00,60
2025-10-10,Perception 2,Why Slow Feels Fast and Fast Feels Slow: Speed Misperception,"Xi Peng, Colin Groth, Daniel Jimenez Navarro, Zihao Zou, Yan Zhu, Ana Serrano, Karol Myszkowski, Qi Sun, Praneeth Chakravarthula",Perception,Room 202,12:00,60
2025-10-10,Art and Museum,ArtSpeak: An Interactive AR Application for Speaking with Art Portraits,"Shubhangi Saileja Rabichandra Garnaik, Aruna Balasubramanian, Niranjan Balasubramanian, Jihoon Ryoo",Applications,Room 204,12:00,60
2025-10-10,Art and Museum,Emotional Art: Artistic re-creation based on emotion capture in VR,"Yufei Zhang, Ding Ding, Zhuying Li",Applications,Room 204,12:00,60
